!PROJECT: GP 2022
!LOCATION: Eschwege - Blaue Kuppe
!OPERATOR: Annika Mattil, Ibrahima Diop, Luise Sontag, Philipp Kraml, Valentin Lobsien
!DATA: Total-field magnetic data from table: MAG_M02
!DATE:
!NOTES:
!VALUE:     datetime    easting    northing    elev    depth       sensor1       sensor2
!UNIT:                      [m]         [m]     [m]      [m]          [nT]          [nT]
!COORDINATES: UTM 32U
2022-8-24-14:14:46   572326.21  5667997.61  257.00     1.50       -151.09        -97.51
2022-8-24-14:15:26   572343.54  5668008.42  257.00     1.50        -66.46        -33.64
2022-8-24-14:15:54   572358.41  5668020.51  256.00     1.50        100.96         81.34
2022-8-24-14:16:22   572371.21  5668033.69  256.00     1.50        -24.17         -1.57
2022-8-24-14:16:42   572378.68  5668044.51  256.00     1.50         -8.57          2.83
2022-8-24-14:17:14   572394.90  5668051.14  256.00     1.50        334.42        224.52
2022-8-24-14:17:38   572404.04  5668040.29  257.00     1.50         43.39         36.20
2022-8-24-14:18:06   572413.35  5668028.36  258.00     1.50        101.12         85.27
2022-8-24-14:18:34   572423.11  5668017.82  259.00     1.50         42.47         29.53
2022-8-24-14:19:10   572436.26  5668004.60  260.00     1.50        236.90        194.30
2022-8-24-14:19:34   572448.91  5667993.11  262.00     1.50        124.86         85.31
2022-8-24-14:20:02   572459.45  5667982.58  263.00     1.50        -37.73        -38.89
2022-8-24-14:20:34   572469.88  5667968.98  264.00     1.50       -112.88       -100.59
2022-8-24-14:21:10   572479.29  5667953.34  265.00     1.50        106.74        109.09
2022-8-24-14:21:42   572489.35  5667930.90  266.00     1.50        -97.49        -68.57
2022-8-24-14:22:06   572495.67  5667916.23  267.00     1.50        248.92        206.99
2022-8-24-14:22:30   572501.75  5667901.22  268.00     1.50         -0.39         15.99
2022-8-24-14:22:54   572508.28  5667887.17  270.00     1.50        124.81        119.30
2022-8-24-14:23:14   572513.59  5667876.57  271.00     1.50         47.41         48.97
2022-8-24-14:23:38   572520.34  5667863.64  273.00     1.50         29.11         30.03
2022-8-24-14:24:02   572526.86  5667848.98  275.00     1.50         20.93         19.99
2022-8-24-14:24:26   572533.57  5667835.64  278.00     1.50        -71.27        -58.90
2022-8-24-14:24:58   572540.65  5667820.38  280.00     1.50         12.88         14.81
2022-8-24-14:25:22   572546.30  5667805.92  282.00     1.50          6.53          9.33
2022-8-24-14:25:46   572551.59  5667790.57  284.00     1.50          4.98         14.26
2022-8-24-14:26:10   572554.34  5667775.62  285.00     1.50         89.28         87.67
2022-8-24-14:26:30   572554.09  5667762.62  287.00     1.50         16.11         27.56
2022-8-24-14:26:54   572551.20  5667745.77  289.00     1.50          8.29         13.95
2022-8-24-14:27:22   572545.14  5667721.53  291.00     1.50        -31.77        -23.77
