!PROJECT:     Praktikum2022_BlaueKuppe
!LOCATION:    Blaue Kuppe, Eschwege
!DATA:        SRTM1
!OPERATOR:    
!DATE:
!COORDINATES: UTM 32T
!NOTES:       10m resolution (resampled)
!VALUE:     datetime    easting    northing    elev    depth        field1        field2
!UNIT:                      [m]         [m]     [m]      [m]           [x]          [xx]
2022-08-17-12:00:00   572015.42  5668487.78  239.00     0.00          0.00          0.00
2022-08-17-12:00:00   572025.42  5668487.78  239.00     0.00          0.00          0.00
2022-08-17-12:00:00   572035.42  5668487.78  239.00     0.00          0.00          0.00
2022-08-17-12:00:00   572045.42  5668487.78  240.00     0.00          0.00          0.00
2022-08-17-12:00:00   572055.42  5668487.78  240.00     0.00          0.00          0.00
2022-08-17-12:00:00   572065.42  5668487.78  240.00     0.00          0.00          0.00
2022-08-17-12:00:00   572075.42  5668487.78  240.00     0.00          0.00          0.00
2022-08-17-12:00:00   572085.42  5668487.78  240.00     0.00          0.00          0.00
2022-08-17-12:00:00   572095.42  5668487.78  240.00     0.00          0.00          0.00
2022-08-17-12:00:00   572105.42  5668487.78  240.00     0.00          0.00          0.00
2022-08-17-12:00:00   572115.42  5668487.78  240.00     0.00          0.00          0.00
2022-08-17-12:00:00   572125.42  5668487.78  239.00     0.00          0.00          0.00
2022-08-17-12:00:00   572135.42  5668487.78  239.00     0.00          0.00          0.00
2022-08-17-12:00:00   572145.42  5668487.78  239.00     0.00          0.00          0.00
2022-08-17-12:00:00   572155.42  5668487.78  239.00     0.00          0.00          0.00
2022-08-17-12:00:00   572165.42  5668487.78  239.00     0.00          0.00          0.00
2022-08-17-12:00:00   572175.42  5668487.78  239.00     0.00          0.00          0.00
2022-08-17-12:00:00   572185.42  5668487.78  239.00     0.00          0.00          0.00
2022-08-17-12:00:00   572195.42  5668487.78  240.00     0.00          0.00          0.00
2022-08-17-12:00:00   572205.42  5668487.78  240.00     0.00          0.00          0.00
2022-08-17-12:00:00   572215.42  5668487.78  240.00     0.00          0.00          0.00
2022-08-17-12:00:00   572225.42  5668487.78  240.00     0.00          0.00          0.00
2022-08-17-12:00:00   572235.42  5668487.78  241.00     0.00          0.00          0.00
2022-08-17-12:00:00   572245.42  5668487.78  241.00     0.00          0.00          0.00
2022-08-17-12:00:00   572255.42  5668487.78  241.00     0.00          0.00          0.00
2022-08-17-12:00:00   572265.42  5668487.78  241.00     0.00          0.00          0.00
2022-08-17-12:00:00   572275.42  5668487.78  243.00     0.00          0.00          0.00
2022-08-17-12:00:00   572285.42  5668487.78  243.00     0.00          0.00          0.00
2022-08-17-12:00:00   572295.42  5668487.78  243.00     0.00          0.00          0.00
2022-08-17-12:00:00   572305.42  5668487.78  243.00     0.00          0.00          0.00
2022-08-17-12:00:00   572315.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572325.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572335.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572345.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572355.42  5668487.78  244.00     0.00          0.00          0.00
